Товар,Категория,Бренд,Дата обновления,Склады
Автоматический выключатель AV POWER-3/3 630А 100kA ETU2.2 EKF AVERES(кр.1шт) [mccb-33-630H-2.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-5/3 800А 70kA ETU4.2 EKF AVERES(кр.1шт) [mccb-53-800M-4.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-3/3 630А 100kA TR EKF AVERES(кр.1шт) [mccb-33-630H-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-4000-S4-3P-100-D-MR8.0-B-C2200-M2-P01-S1-06(кр.1шт) [4043100D8B22200116],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-3200-S4-3P-100-F-MR8.0-B-C2200-M2-P00-S1-06(кр.1шт) [3243100F8B22200016],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-2500-S4-3P-100-D-MR8.0-B-C2200-M2-P01-S1-06(кр.1шт) [2543100D8B22200116],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1000-S1-3P-50-F-MR5.0-B-C2200-M2-P00-S2-03(кр.1шт) [101350F5B22200023],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1000-S1-3P-50-D-MR5.0-B-C2200-M2-P01-S2-03(кр.1шт) [101350D5B22200123],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-800-S1-3P-50-F-MR5.0-B-C2200-M2-P00-S2-03(кр.1шт) [081350F5B22200023],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-800-S1-3P-50-D-MR5.0-B-C2200-M2-P01-S2-03(кр.1шт) [081350D5B22200123],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-630-S1-3P-50-F-MR5.0-B-C2200-M2-P00-S2-03(кр.1шт) [061350F5B22200023],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-3/3 630А 100kA ETU2.0 EKF AVERES(кр.1шт) [mccb-33-630H-2.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-4/3 1000А 100kA ETU2.2 EKF AVERES(кр.1шт) [mccb-43-1000H-2.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-1/3 50А 80kA TR EKF AVERES(кр.1шт) [mccb-13-50H-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99М 250/100А 3P 35кА EKF PROxima(кр.1шт) [mccb99-250-100m],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
